GeneA	GeneB	label	diff_Gene_Effect	PRODE_NICE	MUFFINN_sum	MUFFINN_max	RWR	NetSig	source
ABL1	RPS6KB1	SL	0.54400217491897	-1.00931336456438	0.565843415658434	0.684881511848815	0.613861386138614	0.6423575	Double KO Screens
ACVR1	ATM	SL	-0.778267554487155	-1.96680999088733	0.352564743525647	0.317468253174683	0.222772277227723	0.573926	Double KO Screens
ADA	CHEK1	SL	-0.67486939782118	-3.91316871625582	0.249500049995001	0.225127487251275	0.304455445544555	0.32267725025	Double KO Screens
AGPAT1	INPP1	SL	-1.22400720291805	-3.64059427324996	0.207279272072793	0.211212212112122	0.201320132013201	0.310689	Double KO Screens
AGPAT1	KSR1	SL	0.799026305563376	-1.77353246671599	0.718061527180615	0.722061127220612	0.726072607260726	0.287712	Double KO Screens
AGPAT1	PDK2	SL	0.16982663912724	-1.03936974733838	0.531380195313802	0.480118654801187	0.485148514851485	0.777556	Double KO Screens
AGPAT1	TSPO	SL	-0.371066768908094	-2.05254864618312	0.352664733526647	0.422157784221578	0.346534653465347	0.85015	Double KO Screens
AKT1	AKT2	SL	0.864954530021334	-0.675104987016482	0.709695697096957	0.672649401726494	0.722772277227723	0.874126	Double KO Screens
AKT1	BRCA1	SL	-0.745067240462662	-4.45313302627873	0.112422091124221	0.235676432356764	0.201320132013201	0.454878667	Double KO Screens
AKT1	CHEK1	SL	0.318547910595473	-3.60198774944889	0.411325534113255	0.595440455954404	0.511551155115511	0.106227	Double KO Screens
AKT1	EEF2	SL	-0.361168638979383	-4.58121816424258	0.288237842882379	0.473052694730527	0.323432343234323	0.111222	Double KO Screens
AKT1	IMPDH1	SL	1.66718686629272	-1.43431782931546	0.887644568876445	0.841532513415325	0.933993399339934	0.411921333666667	Double KO Screens
AKT1	MAP2K1	SL	-0.303632813384394	-1.82091522957499	0.399693363996934	0.454587874545879	0.432343234323432	0.766899666666667	Double KO Screens
AKT1	MAP2K2	SL	0.834585100807186	-1.15733086718039	0.703829617038296	0.663300336633003	0.683168316831683	0.792208	Double KO Screens
AKT1	MAPK3	SL	-0.51451706704073	-2.15924899147377	0.479352064793521	0.395360463953605	0.435643564356436	0.975025	Double KO Screens
AKT1	MCL1	SL	-0.820050993961269	-2.89314643420241	0.236509682365097	0.176282371762824	0.29042904290429	0.594072666666667	Double KO Screens
AKT1	MTOR	SL	0.0237375519519516	-1.87982575664403	0.563343665633437	0.431723494317235	0.574257425742574	0.708957666666667	Double KO Screens
AKT2	CDK12	SL	0.0975986741139285	-3.30003012131324	0.477052294770523	0.579142085791421	0.50990099009901	0.06043955	Double KO Screens
AKT2	HMGCR	SL	-0.617925700044666	-3.00828785659414	0.388161183881612	0.472252774722528	0.366336633663366	0.8316685	Double KO Screens
AKT2	MAPK1	SL	-0.658011695408659	-2.0721003834876	0.291120887911209	0.379362063793621	0.272277227722772	0.908092	Double KO Screens
AKT2	MAPK3	SL	-0.574692360608195	-1.75492605721936	0.374212578742126	0.498250174982502	0.262376237623762	0.9945055	Double KO Screens
AKT2	NTRK1	SL	1.25312833114311	-1.1477006115381	0.86946305369463	0.911058894110589	0.896039603960396	0.4985015	Double KO Screens
AKT2	PARP1	SL	1.01516328657455	-1.97267527641381	0.809119088091191	0.90960903909609	0.811881188118812	0.305195	Double KO Screens
AKT2	PARP2	SL	-1.04816480426688	-3.68892371024345	0.13998600139986	0.197330266973303	0.118811881188119	0.1413585	Double KO Screens
AKT3	BCL2L1	SL	-1.10497623203979	-4.13814781604576	0.257174282571743	0.246975302469753	0.326732673267327	0.4975025	Double KO Screens
AKT3	BRCA1	SL	-0.211431829395188	-5.64190974843116	0.276022397760224	0.325917408259174	0.405940594059406	0.014985	Double KO Screens
AKT3	IMPDH1	SL	-0.635202382740925	-1.863838999924	0.269023097690231	0.604189581041895	0.292079207920792	0.484016	Double KO Screens
AKT3	MAP2K1	SL	-0.418024617667288	-2.20519315542161	0.474202579742026	0.598740125987401	0.361386138613862	0.724775	Double KO Screens
AKT3	MCL1	SL	-0.0489257662181015	-2.21637895365985	0.441555844415559	0.338016198380162	0.420792079207921	0.364136	Double KO Screens
AKT3	MTOR	SL	-0.299294899188392	-2.53361512393658	0.348665133486652	0.447055294470553	0.331683168316832	0.497003	Double KO Screens
AKT3	WEE1	SL	0.746000355005371	-4.20316213303626	0.549645035496451	0.407809219078092	0.594059405940595	0.1988010005	Double KO Screens
ALAD	CARM1	SL	-0.172097979030477	-1.80967155225641	0.528222177782222	0.389011098890111	0.415841584158416	0.52023	Double KO Screens
ALAD	GPI	SL	0.0701368600189425	-1.77815415358126	0.477327267273273	0.508449155084492	0.495049504950495	0.4902595	Double KO Screens
ALAD	GRB2	SL	0.582702660702966	-1.81012521418444	0.595315468453155	0.518973102689731	0.611386138613861	0.48576425	Double KO Screens
ALAD	HMGCR	SL	0.521677207747194	-1.50849450837436	0.62956204379562	0.528247175282472	0.599009900990099	0.53571425	Double KO Screens
ALAD	NDUFA4	SL	-0.00313160412974178	-2.36800053239748	0.437156284371563	0.418708129187081	0.47029702970297	0.564935	Double KO Screens
ALAD	NDUFB1	SL	-0.11065512979959	-2.86832027816543	0.458829117088291	0.334116588341166	0.420792079207921	0.5564435	Double KO Screens
ALAD	PRKAA1	SL	0.276592159791321	-2.43738068921956	0.647835216478352	0.4997500249975	0.574257425742574	0.252747	Double KO Screens
